"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.068,0,0.002,0.08,0.85
"2",0.952,0,0,0.048,0
"3",0.732,0,0,0,0.268
"4",0.094,0,0,0.06,0.846
"5",0.908,0,0,0.092,0
"6",0.236,0,0,0.764,0
"7",0.834,0,0.014,0.09,0.062
"8",0.934,0,0,0,0.066
"9",1,0,0,0,0
"10",0.988,0,0,0.012,0
"11",1,0,0,0,0
"12",0.07,0,0.012,0.426,0.492
"13",0.964,0,0,0,0.036
"14",0.766,0,0,0.006,0.228
"15",0.98,0,0,0.02,0
"16",0.998,0,0,0,0.002
"17",0.206,0,0,0.794,0
"18",0.346,0,0,0.654,0
"19",0.774,0,0,0.038,0.188
"20",0.002,0,0.074,0.01,0.914
"21",0.622,0,0,0.004,0.374
"22",0,0,0,0,1
"23",0.982,0,0,0.018,0
"24",0,0,0.02,0,0.98
"25",0.986,0,0,0.014,0
"26",0.09,0,0.002,0,0.908
"27",1,0,0,0,0
"28",0.056,0,0,0,0.944
"29",0.272,0,0,0.728,0
"30",0.864,0,0,0.136,0
"31",0.566,0,0.002,0.05,0.382
"32",1,0,0,0,0
"33",0.068,0,0.002,0,0.93
"34",1,0,0,0,0
"35",0.26,0,0,0,0.74
"36",0.966,0,0,0.034,0
"37",0.108,0,0.036,0,0.856
"38",1,0,0,0,0
"39",0.418,0,0,0.58,0.002
"40",0.676,0,0,0.006,0.318
"41",0.168,0,0.016,0.084,0.732
"42",0,0,0,0,1
"43",0.878,0,0,0,0.122
"44",0,0,0,0,1
"45",0.056,0,0.016,0.004,0.924
"46",0.91,0,0,0.004,0.086
"47",0.764,0,0.004,0.03,0.202
"48",0.866,0,0,0.134,0
"49",0.322,0,0,0.678,0
"50",0.072,0.002,0.018,0.282,0.626
"51",0.196,0,0,0,0.804
"52",0.274,0,0.004,0.722,0
"53",1,0,0,0,0
"54",0.108,0,0,0,0.892
"55",0,0.002,0.186,0.002,0.81
"56",0.89,0,0.002,0.064,0.044
"57",0.98,0,0,0.02,0
"58",0,0,0.002,0,0.998
"59",0,0,0,0,1
"60",1,0,0,0,0
"61",0.766,0,0,0.006,0.228
"62",0.25,0,0,0.75,0
"63",0.642,0,0,0,0.358
"64",0,0,0,0,1
"65",0.028,0,0,0,0.972
"66",0.986,0,0,0.014,0
"67",1,0,0,0,0
"68",0.064,0,0.016,0.592,0.328
"69",0.912,0,0,0.088,0
"70",0,0,0,0,1
"71",0.042,0.008,0.034,0,0.916
"72",1,0,0,0,0
"73",0,0,0,0,1
"74",0.866,0,0,0.134,0
"75",0,0,0,0,1
"76",0.268,0,0,0,0.732
"77",1,0,0,0,0
"78",0.088,0,0.034,0,0.878
"79",0.396,0,0,0.604,0
"80",0.956,0,0,0,0.044
"81",0,0.016,0,0,0.984
"82",0,0,0,0,1
"83",0.976,0,0,0.024,0
"84",0,0,0,0,1
"85",0.196,0,0,0.796,0.008
"86",0.052,0,0.006,0,0.942
"87",0.064,0,0.004,0.196,0.736
"88",0.986,0,0,0.014,0
"89",0,0,0,0,1
"90",1,0,0,0,0
"91",0.002,0,0.182,0.004,0.812
"92",0,0,0.044,0.002,0.954
"93",1,0,0,0,0
"94",0.272,0,0,0.728,0
"95",0.07,0,0.01,0,0.92
"96",0.878,0,0,0.122,0
"97",0.448,0,0,0.552,0
"98",0,0,0,0,1
"99",0.38,0,0,0,0.62
"100",0.552,0,0,0.448,0
"101",1,0,0,0,0
"102",0.878,0,0,0,0.122
"103",0.908,0,0,0.092,0
"104",0.888,0,0,0.09,0.022
